Student,Math,English,Chemistry,Physics,CS
student0,32/100,31/100,10/100,20/100,61/100
student1,36/100,14/100,22/100,42/100,73/100
student2,20/100,93/100,84/100,70/100,21/100
student3,63/100,34/100,12/100,82/100,78/100
student4,43/100,75/100,40/100,80/100,26/100
student5,84/100,68/100,9/100,48/100,41/100
student6,27/100,69/100,48/100,22/100,34/100
student7,39/100,75/100,41/100,59/100,67/100
student8,28/100,63/100,42/100,43/100,58/100
student9,100/100,46/100,30/100,3/100,24/100
student10,99/100,50/100,97/100,24/100,53/100
student11,58/100,72/100,43/100,52/100,52/100
student12,56/100,21/100,57/100,46/100,57/100
student13,89/100,28/100,82/100,36/100,44/100
student14,49/100,53/100,59/100,26/100,13/100
student15,14/100,78/100,34/100,60/100,54/100
student16,36/100,72/100,42/100,10/100,97/100
student17,11/100,11/100,89/100,7/100,61/100
student18,45/100,64/100,22/100,77/100,46/100
student19,96/100,1/100,1/100,86/100,97/100
student20,7/100,91/100,90/100,11/100,36/100
student21,90/100,70/100,45/100,59/100,82/100
student22,56/100,99/100,34/100,31/100,15/100
student23,4/100,32/100,47/100,97/100,25/100
student24,78/100,69/100,93/100,96/100,52/100
student25,65/100,7/100,29/100,65/100,65/100
student26,78/100,24/100,86/100,17/100,62/100
student27,41/100,21/100,44/100,19/100,40/100
student28,97/100,24/100,53/100,52/100,94/100
student29,85/100,24/100,23/100,2/100,99/100
student30,59/100,35/100,43/100,1/100,59/100
student31,77/100,90/100,54/100,50/100,23/100
student32,41/100,8/100,70/100,10/100,6/100
student33,63/100,32/100,26/100,55/100,23/100
student34,96/100,92/100,17/100,28/100,92/100
student35,51/100,38/100,81/100,24/100,87/100
student36,100/100,75/100,23/100,71/100,18/100
student37,55/100,51/100,73/100,52/100,5/100
student38,79/100,14/100,7/100,56/100,57/100
student39,22/100,16/100,79/100,5/100,90/100
student40,82/100,33/100,35/100,29/100,35/100
student41,54/100,47/100,44/100,33/100,38/100
student42,32/100,56/100,50/100,36/100,59/100
student43,88/100,62/100,64/100,19/100,77/100
student44,26/100,71/100,51/100,32/100,27/100
student45,85/100,14/100,95/100,35/100,20/100
student46,71/100,53/100,54/100,27/100,32/100
student47,45/100,94/100,97/100,7/100,42/100
student48,74/100,12/100,9/100,94/100,32/100
student49,15/100,23/100,82/100,86/100,17/100
student50,56/100,93/100,65/100,75/100,37/100
student51,88/100,83/100,13/100,26/100,2/100
student52,89/100,66/100,93/100,98/100,61/100
student53,43/100,82/100,76/100,81/100,15/100
student54,96/100,96/100,82/100,29/100,19/100
student55,100/100,34/100,38/100,62/100,43/100
student56,19/100,71/100,53/100,59/100,75/100
student57,71/100,76/100,97/100,68/100,3/100
student58,92/100,44/100,11/100,7/100,52/100
student59,70/100,15/100,81/100,28/100,31/100
student60,69/100,48/100,89/100,83/100,79/100
student61,48/100,85/100,52/100,14/100,67/100
student62,45/100,33/100,61/100,38/100,10/100
student63,51/100,38/100,94/100,97/100,15/100
student64,81/100,41/100,42/100,18/100,97/100
student65,75/100,24/100,2/100,50/100,26/100
student66,44/100,73/100,33/100,24/100,75/100
student67,53/100,15/100,71/100,94/100,42/100
student68,17/100,71/100,52/100,72/100,11/100
student69,58/100,90/100,85/100,98/100,75/100
student70,27/100,77/100,76/100,29/100,51/100
student71,57/100,10/100,10/100,85/100,7/100
student72,99/100,55/100,63/100,48/100,95/100
student73,52/100,70/100,47/100,84/100,53/100
student74,81/100,96/100,46/100,91/100,67/100
student75,32/100,75/100,90/100,8/100,94/100
student76,14/100,82/100,42/100,66/100,19/100
student77,71/100,96/100,7/100,53/100,99/100
student78,34/100,45/100,62/100,48/100,65/100
student79,5/100,24/100,32/100,1/100,52/100
student80,84/100,59/100,85/100,96/100,55/100
student81,20/100,28/100,39/100,73/100,54/100
student82,26/100,93/100,63/100,31/100,31/100
student83,43/100,78/100,84/100,56/100,57/100
student84,47/100,85/100,44/100,90/100,37/100
student85,79/100,20/100,98/100,15/100,68/100
student86,58/100,23/100,88/100,35/100,61/100
student87,31/100,38/100,63/100,74/100,91/100
student88,81/100,5/100,67/100,35/100,80/100
student89,61/100,6/100,81/100,46/100,41/100
student90,54/100,63/100,97/100,87/100,86/100
student91,40/100,49/100,58/100,13/100,6/100
student92,3/100,14/100,2/100,49/100,30/100
student93,7/100,86/100,2/100,62/100,4/100
student94,50/100,76/100,75/100,32/100,42/100
student95,82/100,56/100,57/100,11/100,30/100
student96,71/100,59/100,86/100,87/100,87/100
student97,27/100,82/100,54/100,57/100,100/100
student98,96/100,33/100,27/100,39/100,9/100
student99,21/100,76/100,86/100,20/100,5/100
student100,16/100,10/100,78/100,63/100,48/100
student101,89/100,75/100,30/100,93/100,55/100
student102,94/100,85/100,78/100,91/100,6/100
student103,6/100,55/100,14/100,92/100,4/100
student104,100/100,18/100,29/100,67/100,41/100
student105,86/100,21/100,65/100,27/100,85/100
student106,22/100,16/100,11/100,47/100,19/100
student107,62/100,16/100,36/100,32/100,23/100
student108,38/100,67/100,20/100,84/100,59/100
student109,46/100,34/100,9/100,42/100,91/100
student110,67/100,53/100,85/100,5/100,6/100
student111,45/100,6/100,92/100,62/100,22/100
student112,52/100,57/100,70/100,72/100,75/100
student113,16/100,20/100,32/100,69/100,38/100
student114,49/100,11/100,19/100,65/100,30/100
student115,7/100,84/100,59/100,74/100,51/100
student116,91/100,12/100,62/100,67/100,39/100
student117,55/100,48/100,90/100,32/100,54/100
student118,16/100,56/100,1/100,7/100,93/100
student119,4/100,32/100,19/100,76/100,99/100
student120,92/100,66/100,60/100,67/100,54/100
student121,61/100,78/100,67/100,80/100,24/100
student122,73/100,18/100,62/100,97/100,80/100
student123,70/100,67/100,23/100,24/100,90/100
student124,45/100,18/100,33/100,35/100,25/100
student125,23/100,62/100,86/100,76/100,70/100
student126,74/100,67/100,44/100,4/100,47/100
student127,58/100,38/100,47/100,62/100,44/100
student128,48/100,52/100,80/100,1/100,95/100
student129,33/100,3/100,14/100,61/100,33/100
student130,86/100,50/100,46/100,98/100,54/100
student131,29/100,9/100,57/100,66/100,10/100
student132,54/100,89/100,30/100,33/100,57/100
student133,60/100,5/100,51/100,99/100,80/100
student134,91/100,65/100,81/100,33/100,50/100
student135,49/100,92/100,32/100,78/100,86/100
student136,9/100,56/100,36/100,55/100,81/100
student137,8/100,40/100,83/100,99/100,11/100
student138,94/100,45/100,69/100,41/100,34/100
student139,10/100,92/100,31/100,94/100,86/100
student140,9/100,8/100,86/100,37/100,26/100
student141,32/100,82/100,65/100,27/100,12/100
student142,19/100,43/100,64/100,29/100,94/100
student143,93/100,72/100,24/100,13/100,54/100
student144,34/100,100/100,82/100,92/100,64/100
student145,11/100,57/100,31/100,92/100,86/100
student146,42/100,30/100,62/100,49/100,20/100
student147,17/100,100/100,48/100,60/100,85/100
student148,14/100,1/100,11/100,19/100,72/100
student149,25/100,92/100,48/100,100/100,93/100
student150,19/100,32/100,69/100,80/100,28/100
student151,3/100,34/100,72/100,15/100,49/100
student152,41/100,43/100,60/100,28/100,86/100
student153,49/100,99/100,94/100,19/100,21/100
student154,91/100,47/100,82/100,26/100,90/100
student155,9/100,24/100,24/100,4/100,16/100
student156,7/100,67/100,48/100,25/100,56/100
student157,63/100,98/100,68/100,71/100,64/100
student158,74/100,80/100,49/100,35/100,89/100
student159,26/100,84/100,76/100,95/100,30/100
student160,5/100,39/100,74/100,23/100,65/100
student161,77/100,67/100,17/100,24/100,9/100
