Student,Math,English,Chemistry,Physics,CS
student0,3/100,100/100,3/100,58/100,2/100
student1,98/100,31/100,28/100,26/100,12/100
student2,26/100,71/100,63/100,33/100,64/100
student3,87/100,86/100,56/100,81/100,77/100
student4,67/100,12/100,30/100,46/100,16/100
student5,96/100,17/100,11/100,51/100,84/100
student6,83/100,16/100,65/100,75/100,68/100
student7,44/100,21/100,9/100,21/100,78/100
student8,9/100,93/100,14/100,75/100,54/100
student9,86/100,17/100,94/100,7/100,8/100
student10,46/100,10/100,100/100,81/100,30/100
student11,23/100,5/100,49/100,79/100,39/100
student12,69/100,41/100,55/100,19/100,33/100
student13,42/100,14/100,74/100,78/100,43/100
student14,39/100,10/100,15/100,13/100,51/100
student15,50/100,66/100,64/100,23/100,52/100
student16,97/100,57/100,37/100,28/100,83/100
student17,68/100,86/100,49/100,98/100,13/100
student18,92/100,52/100,27/100,18/100,82/100
student19,90/100,58/100,10/100,78/100,68/100
student20,41/100,41/100,65/100,57/100,33/100
student21,62/100,73/100,33/100,75/100,100/100
student22,58/100,57/100,1/100,37/100,24/100
student23,34/100,45/100,11/100,96/100,18/100
student24,13/100,23/100,82/100,99/100,42/100
student25,16/100,14/100,2/100,3/100,53/100
student26,94/100,51/100,13/100,84/100,97/100
student27,40/100,65/100,46/100,56/100,5/100
student28,33/100,13/100,81/100,85/100,61/100
student29,10/100,31/100,40/100,36/100,84/100
student30,68/100,76/100,84/100,90/100,15/100
student31,28/100,51/100,52/100,40/100,74/100
student32,100/100,46/100,28/100,54/100,5/100
student33,83/100,18/100,62/100,87/100,53/100
student34,91/100,7/100,60/100,95/100,100/100
student35,29/100,55/100,95/100,20/100,18/100
student36,87/100,8/100,7/100,14/100,46/100
student37,68/100,5/100,42/100,21/100,90/100
student38,44/100,60/100,1/100,13/100,39/100
student39,52/100,6/100,49/100,62/100,67/100
student40,74/100,62/100,88/100,11/100,18/100
student41,63/100,80/100,32/100,39/100,55/100
student42,74/100,56/100,73/100,45/100,53/100
student43,87/100,31/100,11/100,37/100,94/100
student44,28/100,93/100,94/100,68/100,58/100
student45,83/100,36/100,69/100,18/100,29/100
student46,46/100,58/100,12/100,36/100,79/100
student47,93/100,52/100,34/100,68/100,27/100
student48,53/100,40/100,3/100,71/100,98/100
student49,86/100,73/100,88/100,15/100,33/100
student50,95/100,8/100,26/100,1/100,91/100
student51,19/100,10/100,87/100,42/100,48/100
student52,11/100,51/100,25/100,36/100,54/100
student53,36/100,63/100,44/100,1/100,100/100
student54,49/100,56/100,54/100,87/100,58/100
student55,67/100,69/100,20/100,28/100,23/100
student56,81/100,32/100,94/100,54/100,77/100
student57,64/100,90/100,46/100,79/100,62/100
student58,41/100,95/100,23/100,77/100,41/100
student59,53/100,66/100,15/100,72/100,38/100
student60,54/100,84/100,41/100,69/100,39/100
student61,31/100,86/100,86/100,68/100,20/100
student62,77/100,93/100,65/100,85/100,35/100
student63,91/100,1/100,90/100,54/100,67/100
student64,69/100,28/100,100/100,27/100,45/100
student65,94/100,24/100,3/100,14/100,80/100
student66,24/100,60/100,27/100,72/100,97/100
student67,57/100,41/100,20/100,25/100,30/100
student68,57/100,93/100,58/100,86/100,4/100
student69,97/100,1/100,21/100,74/100,7/100
student70,5/100,19/100,72/100,19/100,66/100
student71,37/100,21/100,50/100,52/100,56/100
student72,5/100,71/100,51/100,7/100,16/100
student73,88/100,82/100,77/100,89/100,9/100
student74,11/100,86/100,47/100,26/100,42/100
student75,44/100,60/100,22/100,59/100,63/100
student76,17/100,96/100,32/100,99/100,6/100
student77,29/100,92/100,81/100,28/100,67/100
student78,29/100,26/100,72/100,66/100,77/100
student79,43/100,32/100,67/100,37/100,59/100
student80,63/100,85/100,36/100,45/100,73/100
student81,77/100,26/100,23/100,68/100,92/100
student82,91/100,79/100,70/100,69/100,78/100
student83,45/100,13/100,43/100,68/100,19/100
student84,60/100,44/100,12/100,13/100,3/100
student85,73/100,31/100,75/100,78/100,6/100
student86,54/100,100/100,28/100,88/100,45/100
student87,2/100,67/100,76/100,90/100,55/100
student88,47/100,45/100,21/100,100/100,50/100
student89,21/100,69/100,71/100,52/100,58/100
student90,77/100,82/100,16/100,45/100,60/100
student91,58/100,9/100,80/100,92/100,26/100
student92,49/100,84/100,45/100,31/100,11/100
student93,10/100,27/100,49/100,67/100,53/100
student94,44/100,59/100,47/100,32/100,2/100
student95,36/100,76/100,25/100,57/100,49/100
student96,84/100,38/100,12/100,41/100,42/100
student97,54/100,100/100,73/100,38/100,40/100
student98,98/100,35/100,35/100,88/100,35/100
student99,35/100,51/100,41/100,52/100,67/100
student100,16/100,95/100,88/100,73/100,21/100
student101,82/100,73/100,43/100,22/100,59/100
student102,54/100,27/100,82/100,50/100,72/100
student103,87/100,58/100,55/100,99/100,9/100
student104,45/100,28/100,95/100,30/100,20/100
student105,50/100,77/100,72/100,63/100,86/100
student106,16/100,15/100,28/100,74/100,70/100
student107,18/100,66/100,71/100,74/100,44/100
student108,62/100,73/100,71/100,39/100,5/100
student109,91/100,94/100,28/100,19/100,64/100
student110,35/100,80/100,70/100,87/100,40/100
student111,58/100,41/100,88/100,44/100,62/100
student112,80/100,100/100,49/100,75/100,19/100
student113,88/100,96/100,75/100,45/100,13/100
student114,65/100,58/100,42/100,19/100,75/100
student115,83/100,33/100,13/100,55/100,25/100
student116,58/100,63/100,4/100,23/100,99/100
student117,38/100,16/100,13/100,5/100,42/100
student118,87/100,88/100,18/100,97/100,18/100
student119,48/100,1/100,78/100,93/100,15/100
student120,69/100,18/100,1/100,4/100,59/100
student121,82/100,70/100,84/100,31/100,67/100
student122,94/100,44/100,56/100,79/100,42/100
student123,39/100,38/100,99/100,74/100,12/100
student124,92/100,96/100,78/100,68/100,80/100
student125,100/100,70/100,99/100,10/100,13/100
student126,89/100,82/100,20/100,89/100,38/100
student127,3/100,23/100,36/100,44/100,71/100
student128,96/100,92/100,93/100,38/100,91/100
student129,41/100,78/100,76/100,11/100,45/100
student130,34/100,66/100,59/100,87/100,44/100
student131,85/100,95/100,83/100,33/100,90/100
student132,86/100,18/100,34/100,65/100,87/100
student133,52/100,64/100,65/100,20/100,14/100
student134,85/100,93/100,20/100,86/100,81/100
student135,53/100,36/100,79/100,59/100,15/100
student136,62/100,61/100,9/100,22/100,29/100
student137,58/100,6/100,47/100,78/100,47/100
student138,69/100,49/100,10/100,92/100,37/100
student139,56/100,41/100,50/100,32/100,95/100
student140,62/100,45/100,51/100,20/100,86/100
student141,4/100,63/100,89/100,99/100,37/100
student142,68/100,79/100,1/100,9/100,14/100
student143,95/100,20/100,21/100,13/100,39/100
student144,16/100,54/100,13/100,63/100,95/100
student145,25/100,15/100,53/100,93/100,12/100
student146,12/100,64/100,99/100,58/100,72/100
student147,20/100,48/100,41/100,85/100,92/100
student148,22/100,13/100,14/100,46/100,53/100
student149,70/100,55/100,83/100,78/100,33/100
student150,54/100,10/100,34/100,82/100,14/100
student151,20/100,75/100,84/100,9/100,61/100
student152,21/100,80/100,21/100,17/100,69/100
student153,86/100,21/100,1/100,35/100,65/100
student154,94/100,23/100,60/100,70/100,4/100
student155,82/100,87/100,31/100,9/100,63/100
student156,23/100,73/100,35/100,19/100,97/100
student157,68/100,56/100,8/100,73/100,57/100
student158,48/100,13/100,15/100,64/100,38/100
student159,48/100,67/100,30/100,43/100,13/100
student160,65/100,74/100,88/100,76/100,94/100
student161,75/100,91/100,53/100,14/100,15/100
student162,56/100,65/100,3/100,86/100,7/100
student163,6/100,90/100,38/100,12/100,22/100
student164,92/100,35/100,65/100,30/100,7/100
student165,52/100,74/100,16/100,38/100,53/100
student166,11/100,62/100,50/100,26/100,52/100
student167,38/100,70/100,19/100,37/100,83/100
student168,85/100,21/100,35/100,84/100,40/100
student169,75/100,63/100,34/100,56/100,18/100
student170,59/100,51/100,100/100,43/100,10/100
student171,11/100,80/100,30/100,18/100,29/100
student172,22/100,18/100,90/100,53/100,86/100
student173,89/100,49/100,36/100,61/100,49/100
student174,5/100,55/100,60/100,49/100,46/100
student175,27/100,80/100,91/100,98/100,60/100
student176,30/100,56/100,82/100,97/100,90/100
student177,60/100,15/100,9/100,72/100,21/100
student178,35/100,11/100,80/100,94/100,14/100
student179,72/100,68/100,29/100,75/100,6/100
student180,80/100,66/100,18/100,42/100,54/100
student181,29/100,81/100,97/100,25/100,27/100
student182,27/100,98/100,22/100,87/100,9/100
student183,82/100,36/100,81/100,74/100,80/100
student184,53/100,52/100,6/100,63/100,52/100
student185,56/100,15/100,50/100,75/100,8/100
student186,87/100,9/100,94/100,97/100,10/100
student187,38/100,49/100,28/100,34/100,15/100
student188,78/100,72/100,56/100,89/100,96/100
student189,8/100,88/100,70/100,46/100,54/100
student190,41/100,34/100,19/100,97/100,95/100
student191,37/100,87/100,63/100,27/100,49/100
student192,28/100,36/100,6/100,86/100,25/100
student193,17/100,1/100,57/100,73/100,51/100
student194,88/100,83/100,85/100,97/100,79/100
student195,1/100,87/100,82/100,10/100,99/100
student196,66/100,45/100,72/100,53/100,53/100
student197,72/100,50/100,35/100,58/100,95/100
student198,53/100,17/100,42/100,84/100,7/100
student199,86/100,55/100,15/100,32/100,9/100
student200,18/100,38/100,9/100,72/100,79/100
student201,68/100,94/100,14/100,98/100,51/100
student202,9/100,5/100,37/100,8/100,98/100
student203,50/100,67/100,65/100,100/100,77/100
student204,77/100,37/100,64/100,92/100,74/100
student205,15/100,89/100,58/100,83/100,99/100
student206,2/100,52/100,76/100,63/100,55/100
student207,26/100,7/100,1/100,1/100,35/100
student208,25/100,27/100,98/100,3/100,17/100
student209,73/100,39/100,44/100,68/100,79/100
student210,39/100,79/100,25/100,98/100,23/100
student211,1/100,43/100,22/100,11/100,90/100
student212,13/100,92/100,50/100,23/100,19/100
student213,3/100,64/100,37/100,28/100,7/100
student214,6/100,17/100,80/100,47/100,52/100
student215,81/100,82/100,32/100,27/100,71/100
student216,91/100,83/100,54/100,2/100,65/100
student217,18/100,81/100,31/100,76/100,93/100
student218,95/100,46/100,42/100,79/100,73/100
student219,13/100,35/100,63/100,98/100,57/100
student220,78/100,25/100,59/100,39/100,8/100
student221,53/100,63/100,11/100,74/100,10/100
student222,37/100,70/100,51/100,24/100,51/100
student223,41/100,91/100,56/100,21/100,39/100
student224,44/100,99/100,54/100,25/100,24/100
student225,24/100,80/100,95/100,86/100,2/100
student226,94/100,72/100,54/100,19/100,34/100
student227,22/100,92/100,67/100,47/100,65/100
student228,87/100,47/100,17/100,64/100,33/100
student229,43/100,25/100,69/100,65/100,54/100
student230,85/100,37/100,74/100,22/100,45/100
student231,72/100,52/100,40/100,96/100,27/100
student232,31/100,34/100,68/100,87/100,11/100
student233,47/100,81/100,18/100,42/100,33/100
student234,81/100,35/100,70/100,96/100,20/100
student235,59/100,26/100,4/100,83/100,76/100
student236,1/100,34/100,89/100,85/100,69/100
student237,32/100,67/100,96/100,47/100,51/100
student238,40/100,64/100,19/100,92/100,96/100
student239,25/100,26/100,67/100,47/100,87/100
student240,17/100,97/100,81/100,95/100,12/100
student241,100/100,24/100,90/100,73/100,78/100
student242,86/100,100/100,44/100,14/100,96/100
student243,96/100,57/100,46/100,65/100,52/100
student244,77/100,89/100,29/100,8/100,5/100
student245,69/100,12/100,75/100,62/100,39/100
student246,96/100,52/100,23/100,17/100,73/100
student247,20/100,84/100,20/100,1/100,37/100
student248,66/100,48/100,66/100,57/100,63/100
student249,46/100,66/100,32/100,2/100,51/100
student250,19/100,66/100,78/100,62/100,79/100
student251,41/100,84/100,26/100,97/100,27/100
student252,82/100,92/100,49/100,39/100,82/100
student253,67/100,31/100,52/100,35/100,78/100
student254,72/100,65/100,11/100,47/100,98/100
student255,26/100,69/100,73/100,4/100,85/100
student256,68/100,13/100,25/100,79/100,98/100
student257,90/100,55/100,29/100,100/100,87/100
student258,53/100,90/100,9/100,4/100,65/100
student259,12/100,47/100,37/100,35/100,98/100
student260,16/100,94/100,68/100,38/100,88/100
student261,64/100,55/100,33/100,79/100,49/100
student262,63/100,28/100,27/100,84/100,62/100
student263,14/100,17/100,89/100,53/100,21/100
student264,34/100,3/100,77/100,40/100,25/100
student265,64/100,74/100,80/100,39/100,18/100
student266,77/100,46/100,59/100,19/100,83/100
student267,65/100,10/100,16/100,68/100,65/100
student268,62/100,16/100,47/100,98/100,80/100
student269,83/100,52/100,62/100,90/100,5/100
student270,61/100,64/100,74/100,70/100,41/100
student271,46/100,60/100,47/100,61/100,22/100
student272,6/100,64/100,3/100,60/100,7/100
student273,55/100,15/100,49/100,51/100,44/100
student274,66/100,29/100,79/100,64/100,2/100
student275,5/100,35/100,80/100,21/100,19/100
student276,60/100,25/100,53/100,62/100,100/100
student277,32/100,82/100,8/100,59/100,8/100
student278,69/100,29/100,54/100,59/100,49/100
