Student,Math,English,Chemistry,Physics,CS
student0,72/100,92/100,58/100,13/100,56/100
student1,5/100,61/100,35/100,12/100,37/100
student2,58/100,53/100,78/100,15/100,87/100
student3,88/100,8/100,43/100,19/100,44/100
student4,95/100,93/100,29/100,76/100,82/100
student5,83/100,47/100,8/100,9/100,27/100
student6,4/100,67/100,58/100,13/100,83/100
student7,27/100,91/100,33/100,69/100,52/100
student8,45/100,75/100,61/100,68/100,47/100
student9,36/100,100/100,67/100,46/100,26/100
student10,70/100,4/100,52/100,63/100,51/100
student11,63/100,41/100,87/100,17/100,50/100
student12,37/100,50/100,34/100,55/100,80/100
student13,98/100,40/100,69/100,17/100,31/100
student14,41/100,42/100,65/100,67/100,1/100
student15,76/100,51/100,19/100,48/100,20/100
student16,21/100,40/100,68/100,35/100,45/100
student17,63/100,7/100,100/100,74/100,49/100
student18,4/100,96/100,93/100,99/100,19/100
student19,90/100,48/100,97/100,75/100,85/100
student20,29/100,11/100,20/100,87/100,58/100
student21,58/100,83/100,36/100,100/100,10/100
student22,46/100,46/100,72/100,46/100,85/100
student23,1/100,33/100,22/100,53/100,39/100
student24,40/100,35/100,81/100,88/100,30/100
student25,78/100,74/100,6/100,11/100,37/100
student26,38/100,54/100,34/100,98/100,28/100
student27,90/100,55/100,38/100,65/100,82/100
student28,84/100,45/100,91/100,71/100,25/100
student29,54/100,98/100,86/100,43/100,10/100
student30,15/100,38/100,60/100,12/100,2/100
student31,42/100,50/100,4/100,47/100,73/100
student32,54/100,27/100,17/100,92/100,69/100
student33,3/100,11/100,26/100,87/100,45/100
student34,25/100,26/100,10/100,74/100,38/100
student35,20/100,59/100,37/100,34/100,30/100
student36,5/100,23/100,57/100,59/100,16/100
student37,61/100,89/100,67/100,58/100,89/100
student38,82/100,72/100,94/100,8/100,84/100
student39,68/100,34/100,48/100,32/100,76/100
student40,65/100,70/100,7/100,3/100,52/100
student41,99/100,43/100,76/100,72/100,26/100
student42,25/100,7/100,25/100,29/100,16/100
student43,2/100,88/100,81/100,52/100,84/100
student44,57/100,73/100,52/100,98/100,89/100
student45,63/100,11/100,19/100,6/100,26/100
student46,74/100,73/100,18/100,35/100,16/100
student47,12/100,17/100,44/100,22/100,52/100
student48,74/100,55/100,96/100,38/100,21/100
student49,8/100,36/100,10/100,86/100,33/100
student50,56/100,52/100,98/100,40/100,59/100
student51,5/100,79/100,20/100,90/100,62/100
student52,5/100,70/100,10/100,69/100,71/100
student53,82/100,58/100,29/100,18/100,38/100
student54,73/100,68/100,83/100,26/100,13/100
student55,100/100,31/100,43/100,5/100,30/100
student56,100/100,69/100,33/100,43/100,58/100
student57,53/100,73/100,49/100,75/100,36/100
student58,7/100,71/100,23/100,75/100,78/100
student59,77/100,34/100,34/100,25/100,40/100
student60,39/100,4/100,27/100,36/100,18/100
student61,14/100,53/100,53/100,88/100,31/100
student62,59/100,1/100,39/100,66/100,78/100
student63,25/100,27/100,16/100,58/100,73/100
student64,29/100,91/100,76/100,30/100,8/100
student65,60/100,75/100,92/100,15/100,28/100
student66,57/100,84/100,48/100,94/100,68/100
student67,50/100,9/100,90/100,97/100,77/100
student68,42/100,97/100,29/100,6/100,32/100
student69,77/100,25/100,100/100,80/100,43/100
student70,80/100,33/100,63/100,81/100,34/100
student71,22/100,65/100,99/100,5/100,15/100
student72,76/100,10/100,17/100,15/100,42/100
student73,13/100,46/100,63/100,46/100,16/100
student74,46/100,16/100,18/100,44/100,52/100
student75,71/100,25/100,76/100,10/100,32/100
student76,22/100,19/100,91/100,1/100,75/100
student77,92/100,35/100,18/100,88/100,15/100
student78,67/100,13/100,26/100,50/100,66/100
student79,16/100,13/100,12/100,6/100,24/100
student80,55/100,8/100,83/100,64/100,59/100
student81,13/100,40/100,65/100,21/100,69/100
student82,42/100,53/100,84/100,71/100,90/100
student83,68/100,65/100,90/100,59/100,65/100
student84,75/100,89/100,2/100,43/100,75/100
student85,16/100,64/100,90/100,82/100,23/100
student86,53/100,2/100,28/100,35/100,52/100
student87,40/100,14/100,52/100,20/100,57/100
student88,83/100,87/100,67/100,15/100,13/100
student89,90/100,65/100,41/100,82/100,84/100
student90,89/100,89/100,65/100,70/100,14/100
student91,28/100,91/100,40/100,47/100,96/100
student92,3/100,80/100,44/100,91/100,6/100
student93,16/100,90/100,84/100,40/100,45/100
student94,33/100,83/100,55/100,100/100,49/100
student95,61/100,58/100,21/100,31/100,27/100
student96,52/100,53/100,43/100,59/100,47/100
student97,50/100,46/100,23/100,60/100,54/100
student98,21/100,43/100,92/100,22/100,94/100
student99,100/100,94/100,17/100,93/100,33/100
student100,46/100,18/100,76/100,7/100,3/100
student101,78/100,81/100,6/100,31/100,50/100
student102,69/100,49/100,73/100,85/100,61/100
student103,78/100,95/100,76/100,20/100,15/100
student104,68/100,9/100,51/100,59/100,82/100
student105,58/100,10/100,21/100,89/100,21/100
student106,72/100,69/100,27/100,88/100,91/100
student107,66/100,53/100,89/100,64/100,79/100
student108,20/100,79/100,98/100,39/100,11/100
student109,23/100,49/100,35/100,97/100,87/100
student110,3/100,28/100,72/100,10/100,20/100
student111,78/100,67/100,53/100,14/100,87/100
student112,67/100,51/100,53/100,65/100,40/100
student113,54/100,10/100,18/100,10/100,94/100
student114,47/100,42/100,43/100,71/100,79/100
student115,83/100,64/100,54/100,49/100,54/100
student116,21/100,40/100,50/100,17/100,42/100
student117,98/100,5/100,78/100,17/100,59/100
student118,49/100,77/100,74/100,31/100,76/100
student119,59/100,8/100,15/100,65/100,22/100
student120,43/100,8/100,94/100,60/100,14/100
student121,8/100,48/100,20/100,49/100,56/100
