Student,Math,English,Chemistry,Physics,CS
student0,28/100,16/100,31/100,21/100,4/100
student1,89/100,69/100,58/100,17/100,1/100
student2,18/100,26/100,79/100,100/100,58/100
student3,26/100,32/100,95/100,81/100,39/100
student4,3/100,85/100,89/100,49/100,20/100
student5,85/100,27/100,98/100,68/100,47/100
student6,76/100,99/100,58/100,18/100,19/100
student7,98/100,6/100,63/100,14/100,92/100
student8,75/100,14/100,1/100,90/100,80/100
student9,43/100,20/100,25/100,94/100,48/100
student10,52/100,65/100,24/100,8/100,48/100
student11,38/100,22/100,77/100,58/100,2/100
student12,22/100,25/100,41/100,7/100,46/100
student13,88/100,38/100,74/100,85/100,75/100
student14,63/100,55/100,91/100,62/100,41/100
student15,22/100,37/100,39/100,32/100,63/100
student16,85/100,63/100,33/100,74/100,65/100
student17,88/100,41/100,15/100,86/100,84/100
student18,91/100,91/100,84/100,4/100,85/100
student19,32/100,18/100,41/100,72/100,81/100
student20,99/100,83/100,35/100,5/100,55/100
student21,69/100,23/100,22/100,50/100,93/100
student22,70/100,24/100,49/100,57/100,73/100
student23,40/100,70/100,23/100,71/100,89/100
student24,75/100,39/100,72/100,65/100,89/100
student25,61/100,11/100,89/100,44/100,31/100
student26,70/100,95/100,80/100,76/100,47/100
student27,32/100,54/100,79/100,90/100,51/100
student28,95/100,2/100,76/100,61/100,55/100
student29,19/100,98/100,58/100,86/100,36/100
student30,66/100,66/100,24/100,56/100,45/100
student31,58/100,41/100,22/100,24/100,50/100
student32,96/100,95/100,81/100,47/100,82/100
student33,92/100,45/100,56/100,20/100,86/100
student34,57/100,4/100,15/100,10/100,36/100
student35,48/100,76/100,52/100,62/100,68/100
student36,89/100,24/100,31/100,89/100,94/100
student37,58/100,40/100,95/100,40/100,73/100
student38,83/100,15/100,62/100,13/100,72/100
student39,62/100,94/100,89/100,77/100,60/100
student40,65/100,27/100,24/100,97/100,39/100
student41,65/100,26/100,3/100,3/100,54/100
student42,1/100,39/100,45/100,57/100,43/100
student43,44/100,85/100,19/100,59/100,41/100
student44,16/100,44/100,100/100,70/100,60/100
student45,87/100,98/100,90/100,41/100,27/100
student46,34/100,71/100,77/100,31/100,31/100
student47,75/100,93/100,48/100,94/100,53/100
student48,70/100,84/100,64/100,71/100,76/100
student49,3/100,42/100,72/100,71/100,15/100
student50,98/100,98/100,44/100,65/100,64/100
student51,74/100,84/100,74/100,34/100,53/100
student52,74/100,42/100,25/100,59/100,8/100
student53,44/100,64/100,59/100,27/100,36/100
student54,49/100,100/100,16/100,79/100,8/100
student55,41/100,69/100,55/100,79/100,70/100
student56,31/100,68/100,34/100,45/100,11/100
student57,52/100,36/100,65/100,99/100,95/100
student58,37/100,18/100,60/100,29/100,28/100
student59,61/100,15/100,60/100,8/100,6/100
student60,20/100,92/100,94/100,3/100,79/100
student61,36/100,5/100,9/100,40/100,40/100
student62,99/100,38/100,36/100,61/100,75/100
student63,72/100,72/100,56/100,85/100,95/100
student64,62/100,44/100,77/100,91/100,25/100
student65,52/100,42/100,1/100,46/100,75/100
student66,34/100,1/100,90/100,50/100,4/100
student67,5/100,65/100,88/100,90/100,75/100
student68,56/100,96/100,79/100,37/100,56/100
student69,43/100,96/100,17/100,12/100,82/100
student70,77/100,34/100,7/100,9/100,97/100
student71,90/100,1/100,99/100,27/100,5/100
student72,73/100,78/100,87/100,86/100,68/100
student73,88/100,25/100,38/100,84/100,58/100
student74,3/100,7/100,32/100,19/100,4/100
student75,41/100,34/100,14/100,69/100,25/100
student76,76/100,39/100,68/100,12/100,99/100
student77,44/100,35/100,98/100,92/100,59/100
student78,58/100,28/100,10/100,71/100,99/100
student79,31/100,40/100,43/100,17/100,71/100
student80,100/100,28/100,59/100,72/100,23/100
student81,80/100,13/100,98/100,81/100,6/100
student82,76/100,21/100,12/100,95/100,42/100
student83,73/100,91/100,15/100,56/100,82/100
student84,20/100,97/100,71/100,41/100,26/100
student85,64/100,60/100,68/100,25/100,76/100
student86,5/100,37/100,20/100,39/100,90/100
student87,18/100,45/100,6/100,59/100,100/100
student88,98/100,95/100,54/100,17/100,93/100
student89,55/100,36/100,80/100,93/100,30/100
student90,49/100,84/100,96/100,79/100,9/100
student91,29/100,98/100,75/100,70/100,38/100
student92,57/100,12/100,84/100,17/100,67/100
student93,72/100,10/100,66/100,53/100,6/100
student94,15/100,28/100,81/100,24/100,33/100
student95,74/100,93/100,95/100,69/100,94/100
student96,56/100,10/100,10/100,51/100,82/100
student97,83/100,90/100,48/100,54/100,57/100
student98,34/100,83/100,82/100,46/100,83/100
student99,23/100,19/100,5/100,31/100,24/100
student100,5/100,76/100,55/100,60/100,77/100
student101,59/100,51/100,55/100,73/100,99/100
student102,26/100,15/100,79/100,71/100,59/100
student103,1/100,13/100,59/100,70/100,14/100
student104,59/100,52/100,72/100,94/100,27/100
student105,70/100,19/100,81/100,27/100,62/100
student106,69/100,19/100,59/100,35/100,47/100
student107,77/100,80/100,83/100,5/100,79/100
student108,65/100,22/100,41/100,1/100,5/100
student109,21/100,7/100,62/100,47/100,98/100
student110,50/100,68/100,25/100,100/100,11/100
student111,100/100,83/100,64/100,11/100,50/100
student112,3/100,68/100,38/100,91/100,93/100
student113,80/100,60/100,29/100,81/100,74/100
student114,14/100,22/100,93/100,5/100,12/100
student115,3/100,82/100,76/100,96/100,12/100
student116,54/100,33/100,53/100,11/100,40/100
student117,15/100,18/100,81/100,94/100,53/100
student118,86/100,91/100,67/100,70/100,99/100
student119,68/100,37/100,8/100,25/100,84/100
student120,27/100,25/100,98/100,65/100,80/100
student121,69/100,49/100,3/100,79/100,96/100
student122,66/100,77/100,32/100,34/100,11/100
student123,15/100,70/100,97/100,48/100,34/100
student124,64/100,13/100,51/100,28/100,62/100
student125,97/100,95/100,79/100,5/100,3/100
student126,22/100,43/100,47/100,43/100,80/100
student127,54/100,80/100,69/100,25/100,31/100
student128,4/100,12/100,63/100,66/100,64/100
student129,4/100,92/100,22/100,58/100,18/100
student130,80/100,97/100,83/100,12/100,85/100
student131,100/100,76/100,53/100,36/100,33/100
student132,75/100,83/100,46/100,96/100,98/100
student133,47/100,4/100,8/100,18/100,31/100
student134,41/100,95/100,46/100,77/100,60/100
student135,58/100,55/100,1/100,44/100,75/100
student136,31/100,60/100,62/100,15/100,93/100
student137,47/100,34/100,52/100,52/100,44/100
student138,2/100,89/100,8/100,41/100,45/100
student139,81/100,43/100,59/100,60/100,45/100
student140,15/100,5/100,49/100,90/100,50/100
student141,26/100,44/100,78/100,53/100,95/100
student142,35/100,38/100,46/100,43/100,52/100
student143,45/100,45/100,50/100,100/100,25/100
student144,10/100,88/100,17/100,99/100,50/100
student145,1/100,44/100,80/100,80/100,98/100
student146,86/100,51/100,90/100,46/100,53/100
student147,41/100,70/100,20/100,40/100,53/100
student148,22/100,87/100,86/100,75/100,68/100
student149,50/100,11/100,37/100,38/100,13/100
student150,40/100,25/100,32/100,56/100,47/100
student151,71/100,50/100,99/100,50/100,37/100
student152,27/100,21/100,89/100,33/100,50/100
student153,31/100,46/100,93/100,2/100,82/100
student154,93/100,51/100,6/100,48/100,24/100
student155,18/100,23/100,61/100,38/100,50/100
student156,5/100,32/100,90/100,49/100,55/100
student157,46/100,2/100,55/100,69/100,10/100
student158,96/100,46/100,88/100,45/100,92/100
student159,21/100,100/100,8/100,34/100,72/100
student160,74/100,59/100,59/100,89/100,4/100
student161,56/100,13/100,92/100,85/100,40/100
student162,15/100,66/100,53/100,19/100,76/100
student163,87/100,46/100,68/100,31/100,21/100
student164,85/100,73/100,54/100,23/100,7/100
student165,11/100,18/100,61/100,68/100,97/100
student166,34/100,43/100,100/100,94/100,46/100
student167,46/100,91/100,96/100,5/100,82/100
student168,50/100,66/100,44/100,19/100,47/100
student169,28/100,46/100,70/100,29/100,3/100
student170,78/100,94/100,92/100,46/100,21/100
student171,51/100,58/100,15/100,9/100,53/100
student172,51/100,36/100,65/100,76/100,74/100
student173,9/100,13/100,82/100,26/100,77/100
student174,27/100,56/100,82/100,98/100,24/100
student175,3/100,26/100,100/100,92/100,96/100
student176,6/100,80/100,27/100,97/100,53/100
student177,34/100,78/100,95/100,93/100,53/100
student178,10/100,60/100,49/100,99/100,8/100
student179,58/100,61/100,49/100,66/100,60/100
student180,51/100,20/100,95/100,1/100,26/100
student181,99/100,57/100,44/100,76/100,34/100
student182,4/100,8/100,85/100,29/100,20/100
student183,81/100,17/100,44/100,39/100,19/100
student184,82/100,7/100,50/100,9/100,17/100
student185,29/100,91/100,18/100,74/100,56/100
student186,29/100,83/100,6/100,25/100,17/100
student187,93/100,23/100,81/100,7/100,90/100
student188,76/100,59/100,3/100,87/100,32/100
student189,5/100,40/100,65/100,9/100,3/100
student190,31/100,30/100,11/100,92/100,80/100
student191,41/100,11/100,77/100,53/100,73/100
student192,26/100,78/100,64/100,26/100,83/100
student193,65/100,47/100,95/100,5/100,25/100
student194,8/100,96/100,87/100,24/100,19/100
student195,5/100,74/100,69/100,78/100,56/100
student196,69/100,60/100,65/100,7/100,57/100
student197,74/100,12/100,78/100,36/100,37/100
student198,91/100,51/100,91/100,27/100,73/100
student199,66/100,92/100,11/100,45/100,62/100
student200,55/100,100/100,16/100,20/100,35/100
student201,88/100,32/100,50/100,62/100,91/100
student202,58/100,20/100,57/100,92/100,76/100
student203,53/100,53/100,3/100,78/100,86/100
student204,18/100,63/100,28/100,34/100,85/100
student205,37/100,97/100,19/100,62/100,18/100
student206,14/100,35/100,60/100,6/100,64/100
student207,27/100,17/100,81/100,31/100,80/100
student208,36/100,52/100,75/100,6/100,3/100
student209,100/100,65/100,39/100,28/100,62/100
student210,64/100,7/100,95/100,5/100,21/100
student211,5/100,65/100,28/100,6/100,65/100
student212,67/100,66/100,63/100,71/100,9/100
student213,95/100,59/100,76/100,14/100,11/100
student214,69/100,30/100,2/100,56/100,98/100
student215,17/100,67/100,78/100,86/100,85/100
student216,87/100,45/100,34/100,26/100,20/100
student217,18/100,60/100,30/100,72/100,93/100
student218,20/100,37/100,10/100,51/100,8/100
student219,82/100,38/100,22/100,53/100,22/100
student220,44/100,81/100,1/100,39/100,17/100
student221,5/100,54/100,19/100,28/100,47/100
student222,72/100,65/100,29/100,74/100,74/100
student223,21/100,92/100,35/100,5/100,73/100
student224,3/100,27/100,30/100,6/100,89/100
student225,25/100,38/100,71/100,96/100,17/100
student226,85/100,84/100,24/100,25/100,12/100
student227,73/100,93/100,27/100,6/100,77/100
student228,28/100,89/100,74/100,92/100,2/100
student229,42/100,15/100,95/100,13/100,4/100
student230,58/100,83/100,20/100,45/100,74/100
student231,70/100,83/100,39/100,48/100,71/100
student232,53/100,10/100,29/100,23/100,71/100
student233,54/100,16/100,97/100,3/100,51/100
student234,99/100,66/100,90/100,82/100,95/100
student235,68/100,2/100,15/100,52/100,4/100
student236,52/100,11/100,58/100,66/100,80/100
student237,9/100,97/100,84/100,82/100,56/100
student238,100/100,67/100,50/100,45/100,51/100
student239,21/100,1/100,38/100,74/100,97/100
student240,4/100,77/100,75/100,37/100,76/100
student241,8/100,3/100,92/100,9/100,64/100
student242,8/100,45/100,92/100,6/100,6/100
student243,2/100,63/100,32/100,59/100,28/100
student244,82/100,91/100,49/100,15/100,14/100
student245,40/100,66/100,3/100,34/100,21/100
student246,30/100,86/100,91/100,96/100,58/100
student247,54/100,98/100,87/100,47/100,55/100
student248,33/100,49/100,99/100,54/100,12/100
student249,44/100,12/100,35/100,50/100,22/100
student250,40/100,61/100,4/100,13/100,70/100
student251,36/100,2/100,41/100,93/100,38/100
student252,37/100,18/100,34/100,56/100,75/100
student253,46/100,40/100,55/100,39/100,12/100
student254,3/100,68/100,72/100,98/100,58/100
student255,100/100,38/100,7/100,10/100,90/100
student256,7/100,35/100,18/100,12/100,59/100
student257,67/100,18/100,5/100,76/100,7/100
student258,50/100,4/100,80/100,88/100,100/100
student259,49/100,29/100,4/100,84/100,14/100
student260,4/100,12/100,97/100,66/100,65/100
student261,59/100,71/100,22/100,93/100,74/100
student262,100/100,100/100,97/100,35/100,9/100
student263,11/100,70/100,19/100,72/100,39/100
student264,94/100,55/100,57/100,94/100,91/100
student265,12/100,56/100,15/100,78/100,30/100
student266,45/100,86/100,91/100,100/100,44/100
student267,17/100,15/100,17/100,2/100,93/100
student268,22/100,98/100,81/100,39/100,52/100
student269,56/100,77/100,47/100,21/100,68/100
student270,87/100,93/100,46/100,63/100,38/100
student271,1/100,99/100,95/100,72/100,72/100
student272,47/100,56/100,70/100,12/100,22/100
student273,29/100,76/100,48/100,70/100,16/100
student274,13/100,41/100,15/100,95/100,46/100
student275,17/100,35/100,8/100,93/100,69/100
student276,50/100,25/100,44/100,59/100,48/100
student277,18/100,47/100,31/100,16/100,49/100
student278,75/100,2/100,5/100,69/100,98/100
student279,32/100,16/100,59/100,23/100,90/100
student280,96/100,60/100,14/100,16/100,12/100
student281,32/100,53/100,68/100,41/100,82/100
student282,99/100,74/100,13/100,7/100,68/100
student283,25/100,10/100,21/100,1/100,10/100
student284,50/100,24/100,87/100,11/100,69/100
student285,44/100,86/100,30/100,89/100,97/100
student286,34/100,20/100,7/100,54/100,29/100
student287,29/100,82/100,30/100,27/100,92/100
student288,27/100,61/100,24/100,97/100,43/100
student289,69/100,67/100,60/100,29/100,41/100
student290,51/100,41/100,11/100,80/100,16/100
student291,79/100,37/100,32/100,92/100,15/100
student292,69/100,74/100,93/100,39/100,40/100
student293,25/100,36/100,49/100,39/100,68/100
student294,84/100,82/100,100/100,56/100,90/100
student295,67/100,25/100,63/100,2/100,45/100
student296,56/100,39/100,53/100,58/100,84/100
student297,89/100,57/100,90/100,96/100,34/100
student298,85/100,41/100,58/100,91/100,56/100
student299,27/100,39/100,81/100,38/100,63/100
